Year_Month,Province,Standardized_NO2,Standardized_PM25,Standardized_PM10
2016-08,Groningen,-0.11264719501979323,-1.2451171392156075,1.7597274395646239
2016-08,Limburg,0.14244976284117972,-0.8553066975043728,0.3540771628070304
2016-08,Noord-Brabant,0.21376423438518252,-0.20088415506358315,0.4367747594943982
2016-08,Noord-Holland,0.7022529521862281,-0.15291078151933463,0.3789021706012384
2016-08,Overijssel,-1.3059102522367627,-1.516324281143588,0.07999616915758542
2016-08,Utrecht,0.39717880120063287,-0.8672362401606523,0.03463056375249367
2016-08,Zeeland,-0.5517476714743152,,0.6973560605614861
2016-08,Zuid-Holland,0.9123620715434527,-0.41551989809507955,0.4470825189114447
2016-09,Drenthe,-0.6267404496822238,,-1.418309355551678
2016-09,Flevoland,-0.3669605349013645,,-0.7693328894756604
2016-09,Friesland,-0.9789268646859822,-0.32340303990848995,-0.13940645878285388
2016-09,Gelderland,1.0386820885615478,-0.15426810521352333,-0.23474045760005605
2016-09,Groningen,0.5877169147201518,0.1841975685909079,-0.21800494283557587
2016-09,Limburg,0.7422053396343664,-0.18158336729204846,-0.10376980176639697
2016-09,Noord-Brabant,0.9070160627219808,0.7401026138621108,0.07485845057469394
2016-09,Noord-Holland,1.4216199281625506,0.5943452865513357,-0.24181797624382287
2016-09,Overijssel,-0.5276948355235459,-0.0738760809051969,-0.9394818838229836
2016-09,Utrecht,1.204163672221929,-0.35649083681517313,
2016-09,Zeeland,0.10124839217682605,,
2016-09,Zuid-Holland,1.624011772107677,0.5124537417675253,
2016-10,Drenthe,-0.6671592986246211,,-1.4265528236099028
2016-10,Flevoland,-0.329572165544595,,-0.6914864076720761
2016-10,Friesland,-0.74093116770454,-0.45890970933120473,-0.7623015679333582
2016-10,Gelderland,0.9498798597243557,0.4132606163247066,-0.7155212231292343
2016-10,Groningen,0.7533261485200765,0.3096580777511573,-0.40078992673309743
2016-10,Limburg,0.7400566949113603,0.7266369512278675,-0.4064638065937921
2016-10,Noord-Brabant,0.8733437535076768,1.1083914798626215,
2016-10,Noord-Holland,1.238085429844398,0.9226537836419447,
2016-10,Overijssel,-0.3909386604330951,0.30547395138818506,
2016-10,Utrecht,0.9687776138818165,0.2103005070544496,-0.4043018794792176
2016-10,Zeeland,0.3303382517756033,,-0.5519485982333677
