Unnamed: 0,Year_Month,Province,Average NO2 Value,Average PM2.5 Value,Average PM10 Value,area_km2_st,vehicles_tot,Year,RegioS
421.0,2017-12-01,Flevoland,0.1171892541722995,,-1.3624104380109,0.0,-0.9524340992609523,,
422.0,2017-12-01,Friesland,-0.761158311257037,-0.6866699559605512,-1.5932187945680407,0.0,-0.6815982209571082,,
423.0,2017-12-01,Gelderland,1.2151237109589703,0.1220013847324868,0.0224397013319442,0.0,0.9589488557843924,,
424.0,2017-12-01,Groningen,0.3367761455296337,-0.4171128423962051,-0.2083686552251964,0.0,-1.0289073219540792,,
425.0,2017-12-01,Limburg,0.4465695912083007,0.1220013847324868,-0.6699853683394779,0.0,0.0075417125728072,,
426.0,2017-12-01,Noord-Brabant,0.8857433739229691,0.3915584982968328,-0.2083686552251964,0.0,1.359605384092034,,
427.0,2017-12-01,Noord-Holland,1.4347106023163043,0.1220013847324868,0.0224397013319442,0.0,1.0743410235384998,,
428.0,2017-12-01,Overijssel,-0.3219845285423687,-0.1475557288318591,-1.3624104380109,0.0,0.1062752550472887,,
429.0,2017-12-01,Utrecht,1.3249171566376374,0.1220013847324868,-0.4391770117823371,0.0,0.2266786376344053,,
430.0,2017-12-01,Zeeland,0.0073958084936324,,-0.9007937248966186,0.0,-1.5053621895354865,,
431.0,2017-12-01,Zuid-Holland,1.7640909393523057,0.3915584982968328,0.0224397013319442,0.0,1.487081592756217,,
432.0,2018-01-01,Drenthe,-0.5415714198997029,,-0.6699853683394779,0.0,-1.0521706297180344,,
433.0,2018-01-01,Flevoland,-0.1023976371850346,,-0.6699853683394779,0.0,-0.9524340992609523,,
434.0,2018-01-01,Friesland,-0.65136486557837,-0.1475557288318591,-0.6699853683394779,0.0,-0.6815982209571082,,
435.0,2018-01-01,Gelderland,0.666156482565635,0.3915584982968328,0.253248057889085,0.0,0.9589488557843924,,
436.0,2018-01-01,Groningen,0.4465695912083007,0.3915584982968328,1.4072898406747885,0.0,-1.0289073219540792,,
437.0,2018-01-01,Limburg,0.1171892541722995,0.1220013847324868,-0.4391770117823371,0.0,0.0075417125728072,,
438.0,2018-01-01,Noord-Brabant,0.666156482565635,0.6611156118611788,0.253248057889085,0.0,1.359605384092034,,
439.0,2018-01-01,Noord-Holland,1.1053302652803032,0.6611156118611788,0.4840564144462256,0.0,1.0743410235384998,,
440.0,2018-01-01,Overijssel,-0.4317779742210358,0.1220013847324868,-0.4391770117823371,0.0,0.1062752550472887,,
441.0,2018-01-01,Utrecht,0.8857433739229691,0.3915584982968328,0.0224397013319442,0.0,0.2266786376344053,,
442.0,2018-01-01,Zeeland,-0.2121910828637017,,-0.4391770117823371,0.0,-1.5053621895354865,,
443.0,2018-01-01,Zuid-Holland,1.5445040479949714,0.6611156118611788,0.4840564144462256,0.0,1.487081592756217,,
444.0,2018-02-01,Drenthe,-0.2121910828637017,,0.9456731275605073,0.0,-1.0521706297180344,,
445.0,2018-02-01,Flevoland,0.0073958084936324,,2.330523266903352,0.0,-0.9524340992609523,,
446.0,2018-02-01,Friesland,-0.4317779742210358,2.0089011796829093,0.9456731275605073,0.0,-0.6815982209571082,,
447.0,2018-02-01,Gelderland,1.2151237109589703,2.278458293247255,2.561331623460492,0.0,0.9589488557843924,,
448.0,2018-02-01,Groningen,0.666156482565635,2.0089011796829093,3.2537566931319137,0.0,-1.0289073219540792,,
449.0,2018-02-01,Limburg,0.775949928244302,2.278458293247255,1.6380981972319293,0.0,0.0075417125728072,,
450.0,2018-02-01,Noord-Brabant,1.1053302652803032,2.278458293247255,1.6380981972319293,0.0,1.359605384092034,,
451.0,2018-02-01,Noord-Holland,1.5445040479949714,2.548015406811601,2.0997149103462105,0.0,1.0743410235384998,,
452.0,2018-02-01,Overijssel,-0.1023976371850346,2.278458293247255,1.4072898406747885,0.0,0.1062752550472887,,
453.0,2018-02-01,Utrecht,1.1053302652803032,2.0089011796829093,1.6380981972319293,0.0,0.2266786376344053,,
454.0,2018-02-01,Zeeland,0.3367761455296337,,0.9456731275605073,0.0,-1.5053621895354865,,
455.0,2018-02-01,Zuid-Holland,1.7640909393523057,2.278458293247255,1.86890655378907,0.0,1.487081592756217,,
456.0,2018-03-01,Drenthe,-0.65136486557837,,0.0224397013319442,0.0,-1.0521706297180344,,
457.0,2018-03-01,Flevoland,-0.3219845285423687,,1.176481484117648,0.0,-0.9524340992609523,,
458.0,2018-03-01,Friesland,-0.761158311257037,2.0089011796829093,1.4072898406747885,0.0,-0.6815982209571082,,
459.0,2018-03-01,Gelderland,0.5563630368869679,1.7393440661185628,1.86890655378907,0.0,0.9589488557843924,,
460.0,2018-03-01,Groningen,0.2269826998509666,2.0089011796829093,3.2537566931319137,0.0,-1.0289073219540792,,
461.0,2018-03-01,Limburg,0.2269826998509666,1.4697869525542169,0.7148647710033664,0.0,0.0075417125728072,,
462.0,2018-03-01,Noord-Brabant,0.775949928244302,1.7393440661185628,1.4072898406747885,0.0,1.359605384092034,,
463.0,2018-03-01,Noord-Holland,1.5445040479949714,2.548015406811601,2.330523266903352,0.0,1.0743410235384998,,
464.0,2018-03-01,Overijssel,-0.5415714198997029,1.4697869525542169,1.176481484117648,0.0,0.1062752550472887,,
465.0,2018-03-01,Utrecht,0.8857433739229691,1.7393440661185628,1.4072898406747885,0.0,0.2266786376344053,,
466.0,2018-03-01,Zeeland,0.1171892541722995,,0.7148647710033664,0.0,-1.5053621895354865,,
