,Year_Month,Province,Average NO2 Value,Average PM2.5 Value,Average PM10 Value,area_km2,vehicles_tot
295,2017-01-01,Noord-Holland,41,21.0,28.0,0.0,47438165
296,2017-01-01,Overijssel,21,21.0,25.0,0.0,25136738
297,2017-01-01,Utrecht,37,20.0,27.0,0.0,27202822
298,2017-01-01,Zeeland,26,,28.0,0.0,8732228
299,2017-01-01,Zuid-Holland,43,19.0,28.0,0.0,62190626
300,2017-02-01,Drenthe,13,,28.0,0.0,11755668
301,2017-02-01,Flevoland,17,,28.0,0.0,12550586
302,2017-02-01,Friesland,14,23.0,27.0,0.0,14990976
303,2017-02-01,Gelderland,28,22.0,34.0,0.0,43979534
304,2017-02-01,Groningen,20,20.0,36.0,0.0,11936457
305,2017-02-01,Limburg,25,18.0,24.0,0.0,23560147
306,2017-02-01,Noord-Brabant,28,22.0,29.0,0.0,57201144
307,2017-02-01,Noord-Holland,32,24.0,30.0,0.0,47438165
308,2017-02-01,Overijssel,17,22.0,29.0,0.0,25136738
309,2017-02-01,Utrecht,29,21.0,28.0,0.0,27202822
310,2017-02-01,Zeeland,22,,27.0,0.0,8732228
311,2017-02-01,Zuid-Holland,36,22.0,30.0,0.0,62190626
312,2017-03-01,Drenthe,11,,15.0,0.0,11755668
313,2017-03-01,Flevoland,15,,16.0,0.0,12550586
314,2017-03-01,Friesland,11,10.0,17.0,0.0,14990976
315,2017-03-01,Gelderland,26,10.0,22.0,0.0,43979534
316,2017-03-01,Groningen,20,11.0,22.0,0.0,11936457
317,2017-03-01,Limburg,21,10.0,18.0,0.0,23560147
318,2017-03-01,Noord-Brabant,25,12.0,20.0,0.0,57201144
319,2017-03-01,Noord-Holland,33,13.0,21.0,0.0,47438165
320,2017-03-01,Overijssel,13,9.0,17.0,0.0,25136738
321,2017-03-01,Utrecht,28,11.0,19.0,0.0,27202822
322,2017-03-01,Zeeland,18,,19.0,0.0,8732228
323,2017-03-01,Zuid-Holland,37,12.0,22.0,0.0,62190626
